id;date;cheveux;age;exp;salaire;sexe;diplome;specialite;note;dispo;embauche
2097;12/05/2014;chatain;29.0;1.0;36440.0;M;master;forage;67.48;oui;0
2339;08/11/2014;roux;43.0;1.0;28948.0;M;master;geologie;100.11;oui;0
3386;20/04/2014;chatain;41.0;1.0;34543.0;F;master;archeologie;95.42;oui;0
3752;30/01/2011;chatain;50.0;1.0;37756.0;M;master;geologie;84.76;oui;0
3937;22/04/2010;blond;31.0;1.0;34331.0;F;licence;forage;58.15;non;0
5076;26/03/2011;chatain;25.0;1.0;28293.0;M;master;geologie;81.07;non;0
5182;07/04/2014;chatain;35.0;1.0;41990.0;M;licence;forage;47.12;non;1
5496;07/06/2010;chatain;10.0;1.0;33495.0;F;licence;geologie;60.41;non;0
6433;26/07/2010;blond;23.0;1.0;36303.0;M;licence;forage;69.89;oui;0
6693;11/02/2013;brun;49.0;1.0;31363.0;M;master;detective;76.39;oui;0
6856;20/02/2010;blond;49.0;1.0;31946.0;M;licence;forage;73.83;non;0
7120;26/10/2010;chatain;16.0;1.0;39495.0;M;doctorat;geologie;62.75;oui;0
7353;18/02/2013;brun;30.0;1.0;39565.0;M;bac;geologie;62.85;non;0
7667;28/05/2010;chatain;53.0;1.0;31378.0;M;doctorat;geologie;95.92;oui;0
7994;25/05/2013;chatain;22.0;1.0;33220.0;M;master;geologie;73.28;non;0
8795;04/08/2012;roux;35.0;1.0;26086.0;M;bac;geologie;68.35;non;0
8869;20/11/2011;roux;33.0;1.0;29478.0;F;licence;detective;93.55;non;0
9230;11/04/2013;roux;25.0;1.0;30477.0;M;licence;geologie;63.76;non;0
9361;03/09/2013;blond;26.0;1.0;41993.0;M;licence;geologie;64.65;non;0
9499;13/07/2014;blond;34.0;1.0;26352.0;M;master;geologie;100.11;non;0
9535;12/02/2014;chatain;30.0;1.0;41632.0;M;master;geologie;66.02;oui;0
11367;29/06/2011;blond;40.0;1.0;33302.0;M;licence;geologie;86.7;non;1
12011;13/11/2011;brun;30.0;1.0;33974.0;M;licence;geologie;49.27;non;0
13430;14/07/2014;brun;30.0;1.0;33744.0;F;licence;geologie;74.57;non;0
13436;17/08/2014;blond;35.0;1.0;34231.0;M;master;forage;74.31;oui;0
14463;23/05/2011;chatain;36.0;1.0;29333.0;F;doctorat;forage;74.12;non;0
15174;18/04/2011;brun;29.0;1.0;36026.0;F;licence;geologie;84.88;non;0
15530;09/11/2010;blond;27.0;1.0;28268.0;M;licence;geologie;81.57;non;0
15712;19/09/2011;chatain;49.0;1.0;47715.0;M;licence;geologie;58.68;oui;0
16001;07/05/2012;blond;32.0;1.0;25662.0;M;doctorat;geologie;90.01;oui;1
16279;10/12/2011;brun;46.0;1.0;35658.0;F;licence;detective;62.41;non;0
16570;31/03/2013;chatain;31.0;1.0;42988.0;F;master;detective;64.37;oui;0
16785;28/10/2012;blond;32.0;1.0;35385.0;F;licence;detective;70.97;non;0
17311;12/05/2010;chatain;25.0;1.0;34646.0;F;doctorat;archeologie;114.23;oui;0
17615;21/12/2010;brun;45.0;1.0;49166.0;;bac;detective;;oui;0
18093;11/10/2013;chatain;44.0;1.0;28055.0;M;master;geologie;74.04;non;0
18468;01/03/2013;brun;35.0;1.0;31384.0;M;doctorat;detective;78.25;oui;0
19089;20/11/2010;brun;45.0;1.0;35443.0;M;master;geologie;79.01;non;0
19153;23/06/2013;blond;49.0;1.0;39875.0;F;bac;detective;59.98;non;0
19713;23/07/2014;blond;28.0;1.0;46520.0;F;bac;detective;63.5;oui;0
19850;04/12/2013;blond;30.0;1.0;37860.0;M;licence;geologie;73.01;oui;0
19893;05/10/2014;brun;44.0;1.0;35007.0;M;master;geologie;83.51;non;0
19971;25/02/2013;chatain;44.0;1.0;31696.0;F;master;archeologie;103.54;oui;0
6025;06/05/2013;blond;36.0;-1.0;29241.0;M;master;geologie;85.34;non;0
7;10/03/2012;roux;31.0;10.0;42392.0;M;licence;forage;62.2;oui;0
8;17/10/2014;chatain;43.0;10.0;28625.0;M;doctorat;geologie;65.17;non;1
16;05/02/2012;brun;31.0;10.0;28507.0;M;doctorat;forage;104.26;oui;0
21;22/05/2014;chatain;30.0;10.0;39069.0;F;licence;forage;65.19;non;0
49;03/08/2010;chatain;26.0;10.0;36792.0;F;doctorat;detective;99.05;oui;0
53;18/07/2012;chatain;47.0;10.0;32617.0;F;master;detective;84.29;non;0
71;05/10/2010;chatain;45.0;10.0;32069.0;F;master;geologie;66.3;non;0
79;11/10/2014;blond;26.0;10.0;33852.0;F;bac;geologie;75.27;non;0
86;30/10/2013;chatain;36.0;10.0;31450.0;F;master;detective;89.11;oui;0
96;22/06/2011;brun;56.0;10.0;33522.0;M;doctorat;geologie;106.21;oui;0
97;03/12/2012;brun;46.0;10.0;29724.0;F;master;geologie;75.23;non;0
107;05/12/2014;blond;39.0;10.0;31230.0;F;licence;geologie;95.83;non;0
111;20/05/2010;blond;46.0;10.0;40090.0;M;master;archeologie;94.77;oui;0
140;11/11/2014;chatain;29.0;10.0;41452.0;F;licence;detective;72.0;oui;0
142;25/04/2011;blond;65.0;10.0;38355.0;F;licence;archeologie;66.45;oui;0
145;02/02/2010;blond;46.0;10.0;44708.0;M;bac;forage;50.04;non;0
146;01/01/2013;brun;33.0;10.0;37521.0;M;master;geologie;70.78;non;0
151;15/05/2011;blond;35.0;10.0;35035.0;M;master;geologie;78.59;oui;0
156;15/02/2010;brun;27.0;10.0;44654.0;M;licence;geologie;54.79;non;0
159;03/03/2012;brun;25.0;10.0;44516.0;M;licence;geologie;30.1;non;0
171;28/05/2010;blond;32.0;10.0;34404.0;M;licence;geologie;84.44;oui;0
187;23/01/2013;blond;26.0;10.0;30687.0;F;bac;geologie;78.85;non;0
189;25/04/2011;brun;55.0;10.0;29393.0;F;master;forage;77.14;non;0
197;02/04/2011;chatain;41.0;10.0;39570.0;M;doctorat;detective;67.14;oui;0
203;17/12/2010;blond;37.0;10.0;39375.0;M;bac;geologie;35.95;non;0
211;09/05/2014;brun;12.0;10.0;31557.0;F;master;detective;115.51;oui;1
215;04/10/2011;brun;42.0;10.0;25871.0;F;doctorat;forage;118.8;non;0
218;20/12/2013;blond;37.0;10.0;41834.0;F;bac;archeologie;94.06;oui;1
220;05/03/2014;brun;27.0;10.0;24244.0;F;master;geologie;105.13;non;0
221;09/03/2010;blond;35.0;10.0;32668.0;M;licence;geologie;47.54;non;0
228;20/03/2010;brun;31.0;10.0;34735.0;M;licence;geologie;73.37;non;0
246;03/02/2012;brun;29.0;10.0;33578.0;M;master;geologie;77.51;non;1
253;25/06/2014;blond;35.0;10.0;31894.0;M;doctorat;geologie;87.71;oui;1
258;10/01/2011;chatain;8.0;10.0;44530.0;F;licence;archeologie;70.58;oui;0
262;22/06/2013;chatain;43.0;10.0;42208.0;M;master;detective;76.3;oui;0
287;07/03/2011;brun;39.0;10.0;29217.0;M;master;geologie;79.76;non;0
291;06/07/2013;blond;17.0;10.0;35119.0;M;bac;archeologie;89.62;non;1
300;25/06/2014;blond;30.0;10.0;42526.0;F;licence;detective;105.36;oui;0
302;16/10/2011;chatain;42.0;10.0;34787.0;F;master;forage;84.58;oui;0
305;24/09/2011;chatain;39.0;10.0;33053.0;F;doctorat;detective;97.03;oui;0
306;29/12/2013;brun;35.0;10.0;36679.0;F;master;detective;90.24;oui;0
312;25/03/2012;brun;43.0;10.0;28210.0;F;master;forage;87.16;non;1
319;22/11/2013;chatain;30.0;10.0;30967.0;M;master;geologie;52.14;non;0
322;19/01/2010;blond;23.0;10.0;38541.0;M;licence;geologie;36.16;non;0
331;23/09/2010;chatain;42.0;10.0;42988.0;F;licence;forage;58.31;non;0
337;27/04/2012;blond;44.0;10.0;37718.0;F;licence;detective;81.42;oui;0
338;18/10/2010;blond;35.0;10.0;40921.0;M;licence;geologie;74.01;oui;0
339;18/06/2010;brun;51.0;10.0;36358.0;F;master;archeologie;62.22;oui;0
341;15/01/2013;blond;24.0;10.0;35829.0;M;licence;geologie;61.67;non;0
353;21/07/2010;brun;42.0;10.0;28083.0;M;doctorat;forage;95.2;oui;0
354;28/11/2011;brun;21.0;10.0;40127.0;F;licence;forage;70.13;non;0
357;11/12/2012;chatain;42.0;10.0;38923.0;F;doctorat;archeologie;81.41;oui;0
364;02/01/2010;chatain;19.0;10.0;43902.0;F;licence;detective;46.42;oui;0
406;08/08/2012;chatain;32.0;10.0;41423.0;F;licence;archeologie;67.86;oui;1
410;10/11/2011;blond;39.0;10.0;39427.0;F;bac;detective;60.44;non;0
413;07/11/2014;chatain;30.0;10.0;28281.0;F;doctorat;detective;98.65;oui;0
437;23/11/2011;blond;40.0;10.0;34100.0;M;doctorat;geologie;97.0;oui;1
454;24/07/2014;chatain;35.0;10.0;34418.0;M;master;geologie;56.23;non;0
470;16/06/2010;brun;21.0;10.0;36116.0;F;master;forage;85.72;oui;0
472;05/07/2011;chatain;47.0;10.0;27926.0;F;doctorat;geologie;85.8;non;0
474;04/07/2011;chatain;26.0;10.0;33168.0;F;licence;geologie;65.83;non;1
487;11/09/2010;brun;32.0;10.0;37139.0;M;master;geologie;75.45;oui;0
492;12/01/2013;brun;26.0;10.0;40470.0;M;licence;geologie;31.29;non;0
500;13/01/2013;blond;24.0;10.0;33139.0;F;licence;geologie;86.24;non;0
505;24/06/2010;blond;27.0;10.0;42641.0;M;bac;geologie;71.99;non;0
513;19/03/2012;brun;34.0;10.0;25449.0;M;doctorat;geologie;103.09;oui;0
543;02/12/2012;chatain;35.0;10.0;30506.0;F;master;geologie;77.6;non;0
544;07/07/2014;brun;43.0;10.0;35910.0;F;licence;geologie;59.87;non;1
546;11/04/2011;blond;35.0;10.0;27594.0;F;master;detective;116.44;oui;0
556;30/01/2013;blond;39.0;10.0;32064.0;;licence;forage;65.69;non;0
560;26/11/2011;chatain;30.0;10.0;36291.0;F;doctorat;forage;100.06;oui;0
566;01/11/2011;roux;37.0;10.0;34027.0;M;licence;geologie;69.11;non;0
571;01/01/2012;chatain;31.0;10.0;37188.0;M;doctorat;detective;88.92;oui;0
573;24/01/2010;chatain;37.0;10.0;39414.0;M;licence;geologie;65.14;non;0
583;04/12/2012;brun;32.0;10.0;26589.0;F;;geologie;107.17;non;0
585;29/05/2010;brun;50.0;10.0;35154.0;M;master;detective;87.93;oui;0
586;01/04/2010;blond;29.0;10.0;32550.0;F;licence;geologie;77.2;non;0
591;28/09/2012;chatain;36.0;10.0;36275.0;M;master;forage;59.99;non;0
594;03/01/2014;brun;18.0;10.0;41923.0;F;licence;detective;49.53;non;0
599;16/05/2012;blond;59.0;10.0;38734.0;M;master;forage;53.17;oui;0
606;21/10/2010;brun;27.0;10.0;36626.0;F;licence;geologie;91.1;non;0
607;22/12/2013;roux;44.0;10.0;32234.0;F;bac;forage;57.01;non;0
640;16/06/2014;chatain;16.0;10.0;40406.0;F;master;archeologie;82.27;oui;0
644;02/12/2010;chatain;54.0;10.0;38132.0;M;doctorat;geologie;62.53;oui;0
666;02/07/2012;brun;20.0;10.0;37925.0;M;master;geologie;66.91;oui;1
669;18/10/2013;chatain;25.0;10.0;40382.0;F;master;archeologie;74.53;oui;0
678;28/08/2012;chatain;47.0;10.0;34062.0;F;master;geologie;41.99;non;1
692;22/05/2012;blond;48.0;10.0;35737.0;F;licence;forage;87.95;non;0
693;15/01/2012;brun;29.0;10.0;28791.0;F;doctorat;forage;115.75;oui;0
695;24/10/2010;brun;26.0;10.0;34183.0;M;master;geologie;72.91;non;0
696;17/11/2011;blond;27.0;10.0;37531.0;M;master;detective;65.85;oui;0
709;19/08/2011;chatain;20.0;10.0;33323.0;M;master;geologie;62.7;non;1
719;02/04/2013;chatain;38.0;10.0;39801.0;F;doctorat;detective;77.52;oui;0
732;05/03/2012;brun;43.0;10.0;30530.0;F;licence;geologie;53.84;non;0
744;02/09/2014;brun;35.0;10.0;26146.0;F;licence;geologie;75.22;non;0
746;18/07/2013;roux;42.0;10.0;28765.0;M;licence;forage;111.07;non;1
761;17/09/2011;blond;36.0;10.0;36280.0;M;licence;geologie;70.25;oui;0
762;03/05/2012;blond;44.0;10.0;27819.0;M;master;geologie;93.81;oui;0
771;12/02/2014;roux;37.0;10.0;41125.0;M;master;geologie;105.38;oui;1
774;09/04/2013;chatain;44.0;10.0;30812.0;M;doctorat;forage;93.7;oui;0
779;28/11/2012;blond;47.0;10.0;34915.0;F;master;detective;82.13;oui;0
787;21/02/2013;blond;15.0;10.0;41647.0;M;licence;forage;66.7;oui;0
801;05/05/2013;brun;33.0;10.0;39141.0;M;licence;geologie;73.94;non;0
802;22/02/2011;blond;40.0;10.0;37766.0;M;licence;forage;74.99;oui;0
811;06/04/2013;roux;35.0;10.0;38480.0;M;bac;forage;46.31;non;0
816;15/03/2012;chatain;31.0;10.0;38503.0;F;licence;archeologie;65.38;non;1
817;19/03/2010;brun;36.0;10.0;35482.0;F;doctorat;detective;99.8;oui;0
818;16/08/2013;chatain;44.0;10.0;38199.0;F;master;forage;74.62;oui;0
821;03/09/2010;blond;31.0;10.0;28235.0;M;master;geologie;63.72;non;0
822;28/06/2014;blond;33.0;10.0;28147.0;M;licence;geologie;74.34;non;0
823;30/07/2012;blond;24.0;10.0;34589.0;M;licence;forage;75.93;oui;0
830;27/05/2013;blond;36.0;10.0;35886.0;M;licence;forage;73.4;oui;0
831;19/05/2013;blond;24.0;10.0;33265.0;M;master;detective;74.91;oui;0
839;04/02/2013;chatain;42.0;10.0;41960.0;M;licence;geologie;37.46;non;0
849;28/08/2011;blond;30.0;10.0;36462.0;F;licence;geologie;77.58;non;0
851;13/04/2011;blond;62.0;10.0;41899.0;M;licence;forage;60.22;oui;0
855;25/07/2012;roux;29.0;10.0;39210.0;M;bac;forage;50.35;non;0
857;23/08/2011;chatain;35.0;10.0;42115.0;F;doctorat;detective;92.7;oui;0
859;07/07/2010;brun;43.0;10.0;29632.0;M;doctorat;geologie;74.48;non;0
860;26/01/2014;brun;20.0;10.0;29903.0;F;master;forage;91.0;non;0
861;03/06/2010;brun;49.0;10.0;41555.0;M;licence;geologie;73.1;;0
886;16/10/2010;chatain;36.0;10.0;38319.0;M;master;geologie;76.91;non;0
887;01/07/2013;chatain;49.0;10.0;33110.0;F;master;forage;;non;0
902;25/06/2010;chatain;36.0;10.0;32190.0;F;bac;archeologie;57.46;non;1
904;17/03/2010;chatain;40.0;10.0;33798.0;F;master;forage;101.9;oui;0
906;07/03/2014;brun;51.0;10.0;43191.0;F;licence;detective;50.45;non;0
907;17/11/2012;blond;41.0;10.0;28875.0;F;bac;geologie;85.44;non;0
915;16/07/2010;chatain;39.0;10.0;38678.0;F;licence;archeologie;65.06;non;1
920;14/03/2011;brun;19.0;10.0;37864.0;M;master;geologie;57.67;oui;0
927;21/01/2011;blond;41.0;10.0;37942.0;M;licence;forage;66.89;non;0
928;16/08/2014;blond;22.0;10.0;24420.0;F;master;forage;104.13;non;0
930;08/12/2010;chatain;33.0;10.0;32421.0;M;licence;detective;63.3;non;1
932;06/10/2012;blond;26.0;10.0;29476.0;F;master;geologie;83.74;non;0
934;25/09/2013;chatain;47.0;10.0;39199.0;M;master;forage;72.07;oui;0
940;14/08/2014;roux;44.0;10.0;37323.0;M;bac;geologie;38.59;non;0
955;14/03/2010;chatain;34.0;10.0;32973.0;F;master;forage;56.21;non;1
962;16/05/2013;roux;46.0;10.0;38226.0;M;licence;geologie;61.59;non;0
966;05/09/2013;blond;29.0;10.0;26640.0;M;master;geologie;104.75;non;0
971;14/05/2012;chatain;38.0;10.0;39372.0;F;master;detective;94.57;oui;0
977;18/04/2012;brun;41.0;10.0;34495.0;M;licence;detective;78.78;non;1
987;17/02/2010;blond;19.0;10.0;37663.0;M;bac;geologie;62.61;non;0
989;13/01/2012;brun;33.0;10.0;35854.0;M;licence;geologie;60.21;non;0
991;17/06/2014;chatain;28.0;10.0;39140.0;M;master;geologie;;oui;0
992;01/03/2014;brun;15.0;10.0;40768.0;M;master;geologie;70.65;oui;0
995;27/10/2011;blond;36.0;10.0;40593.0;F;bac;geologie;57.85;non;0
1003;19/04/2012;brun;35.0;10.0;35138.0;M;master;geologie;67.72;non;0
1009;22/08/2013;blond;29.0;10.0;30451.0;M;master;forage;80.76;oui;0
1011;24/06/2014;brun;31.0;10.0;31166.0;F;master;geologie;97.34;non;0
1020;28/12/2013;blond;34.0;10.0;30105.0;M;master;forage;90.49;oui;0
1040;04/09/2014;blond;35.0;10.0;35591.0;M;licence;forage;79.98;non;0
1067;08/12/2010;blond;35.0;10.0;25358.0;F;doctorat;detective;101.79;oui;0
1069;15/06/2013;brun;30.0;10.0;38304.0;M;master;geologie;72.1;oui;1
1077;13/09/2011;brun;37.0;10.0;30358.0;M;master;geologie;61.72;non;0
1084;19/12/2010;chatain;54.0;10.0;43308.0;M;master;geologie;70.18;oui;0
1093;02/07/2013;chatain;34.0;10.0;37832.0;M;master;geologie;57.71;non;0
1114;18/01/2012;chatain;42.0;10.0;33096.0;F;bac;archeologie;63.42;non;1
1127;11/07/2013;roux;40.0;10.0;42415.0;M;bac;geologie;48.74;non;0
1131;26/04/2013;brun;31.0;10.0;35467.0;M;master;geologie;81.01;non;0
1141;23/05/2013;blond;31.0;10.0;36136.0;M;licence;geologie;62.21;non;0
1157;17/07/2012;blond;;10.0;34502.0;M;licence;forage;57.94;non;0
1168;04/09/2012;chatain;57.0;10.0;27862.0;F;master;geologie;89.06;non;0
1175;11/03/2013;blond;42.0;10.0;32395.0;F;bac;detective;81.67;non;1
1191;11/09/2012;blond;33.0;10.0;37508.0;M;licence;geologie;83.73;non;1
1201;03/02/2011;brun;42.0;10.0;39343.0;M;master;geologie;78.04;oui;1
1217;01/10/2010;brun;33.0;10.0;40274.0;M;master;forage;69.33;oui;0
1226;31/10/2013;chatain;30.0;10.0;31927.0;F;master;forage;93.28;non;1
1252;09/05/2013;blond;48.0;10.0;34270.0;F;master;detective;108.69;oui;0
1278;06/11/2010;blond;30.0;10.0;35190.0;M;licence;detective;86.34;oui;0
1291;05/09/2011;chatain;44.0;10.0;39958.0;F;master;detective;;oui;0
1296;30/07/2010;chatain;42.0;10.0;33384.0;M;doctorat;geologie;81.28;non;0
1302;10/10/2010;chatain;37.0;10.0;35085.0;F;master;geologie;77.6;non;0
1304;25/07/2012;blond;39.0;10.0;28651.0;F;licence;forage;93.37;non;0
1320;18/12/2011;chatain;49.0;10.0;26085.0;M;master;detective;70.04;non;1
1328;13/11/2013;chatain;35.0;10.0;36095.0;F;master;forage;68.25;oui;0
1332;25/09/2014;brun;35.0;10.0;31586.0;F;master;detective;115.57;oui;0
1337;23/08/2011;brun;42.0;10.0;41075.0;M;licence;geologie;61.24;oui;0
1342;10/02/2011;blond;29.0;10.0;46995.0;M;bac;forage;56.69;oui;0
1351;11/04/2011;chatain;32.0;10.0;34633.0;M;doctorat;geologie;80.7;oui;0
1352;15/10/2012;brun;23.0;10.0;38917.0;M;master;forage;84.25;oui;0
1360;05/04/2011;chatain;48.0;10.0;32985.0;M;doctorat;geologie;72.1;non;0
1366;12/12/2011;blond;23.0;10.0;32074.0;M;licence;geologie;74.48;non;0
1382;02/07/2014;chatain;19.0;10.0;30138.0;F;master;geologie;82.6;non;0
1390;24/04/2010;brun;33.0;10.0;35129.0;M;licence;geologie;79.37;non;0
1391;28/06/2011;blond;20.0;10.0;29424.0;M;licence;geologie;76.21;non;0
1393;27/06/2012;brun;41.0;10.0;47862.0;M;master;detective;74.74;oui;0
1395;07/11/2013;blond;48.0;10.0;36556.0;M;master;geologie;96.24;oui;1
1397;29/01/2011;brun;35.0;10.0;29993.0;M;doctorat;forage;84.91;oui;0
1412;04/09/2014;brun;34.0;10.0;36922.0;F;master;archeologie;72.89;oui;0
1425;09/03/2013;brun;25.0;10.0;39024.0;F;bac;geologie;57.52;non;0
1430;22/06/2011;brun;32.0;10.0;40925.0;F;bac;archeologie;64.79;non;0
1432;12/08/2012;chatain;17.0;10.0;41680.0;F;master;detective;66.45;oui;0
1433;19/11/2011;brun;38.0;10.0;42660.0;F;licence;detective;66.66;oui;0
1436;03/03/2010;blond;46.0;10.0;41441.0;F;bac;forage;67.04;non;0
1438;04/05/2012;chatain;29.0;10.0;38828.0;F;doctorat;archeologie;;oui;0
1447;08/10/2014;blond;19.0;10.0;35929.0;M;licence;forage;70.12;non;0
1448;22/11/2010;brun;39.0;10.0;28249.0;F;licence;geologie;77.48;non;0
1449;15/11/2011;blond;34.0;10.0;29830.0;M;licence;geologie;54.11;non;0
1450;06/02/2011;blond;30.0;10.0;34354.0;F;licence;detective;78.8;non;0
1467;28/01/2010;blond;31.0;10.0;39903.0;M;bac;geologie;49.37;non;0
1469;15/12/2013;chatain;31.0;10.0;42614.0;M;licence;geologie;58.65;non;0
1471;17/11/2014;blond;21.0;10.0;42404.0;F;bac;detective;93.26;oui;1
1479;16/10/2013;brun;8.0;10.0;36510.0;M;master;detective;83.06;oui;0
1480;24/06/2014;blond;35.0;10.0;32936.0;M;doctorat;detective;84.36;oui;0
1481;05/12/2012;brun;35.0;10.0;33664.0;M;licence;geologie;79.93;non;0
1482;23/08/2012;brun;33.0;10.0;44617.0;F;bac;detective;66.79;non;0
1490;27/03/2012;chatain;35.0;10.0;33455.0;F;doctorat;detective;86.88;oui;0
1499;09/03/2011;blond;35.0;10.0;39423.0;M;bac;geologie;65.61;non;0
1508;06/06/2011;brun;51.0;10.0;32108.0;F;master;forage;78.41;non;0
1509;02/10/2012;brun;32.0;10.0;34032.0;F;licence;geologie;73.07;non;0
1512;23/05/2012;brun;41.0;10.0;25901.0;M;master;geologie;97.87;non;0
1553;28/03/2013;brun;33.0;10.0;37436.0;M;master;geologie;63.53;oui;0
1556;19/01/2013;chatain;55.0;10.0;36675.0;M;master;geologie;73.74;non;1
1557;27/11/2012;blond;48.0;10.0;35346.0;M;licence;forage;85.03;oui;0
1567;06/09/2012;blond;32.0;10.0;33918.0;M;licence;detective;88.3;non;1
1576;26/08/2011;roux;44.0;10.0;24092.0;M;master;geologie;89.2;oui;0
1582;19/02/2012;blond;22.0;10.0;32500.0;M;licence;detective;78.34;non;0
1594;10/10/2013;chatain;42.0;10.0;33938.0;F;master;detective;102.02;non;0
1605;21/10/2014;chatain;40.0;10.0;41901.0;M;master;forage;79.47;oui;0
1608;18/05/2013;blond;35.0;10.0;37635.0;M;master;geologie;65.13;oui;0
1617;07/06/2011;blond;31.0;10.0;43706.0;M;licence;geologie;49.53;oui;0
1618;03/06/2011;blond;25.0;10.0;27049.0;M;doctorat;geologie;119.71;oui;0
1627;07/01/2011;blond;33.0;10.0;34810.0;F;bac;forage;65.77;non;0
1636;07/08/2010;blond;34.0;10.0;40112.0;F;licence;geologie;87.67;non;0
1644;10/11/2014;blond;40.0;10.0;37396.0;M;licence;archeologie;103.01;oui;1
1654;21/12/2014;chatain;25.0;10.0;43686.0;M;master;detective;71.29;oui;0
1659;21/05/2013;chatain;25.0;10.0;29054.0;F;master;forage;59.43;non;1
1660;03/09/2013;chatain;23.0;10.0;34548.0;F;licence;archeologie;55.06;non;1
1664;13/12/2014;brun;34.0;10.0;30709.0;M;doctorat;detective;83.44;oui;0
1688;05/11/2014;chatain;26.0;10.0;35375.0;F;licence;geologie;56.24;non;0
1689;12/06/2013;brun;28.0;10.0;39542.0;M;master;geologie;72.32;oui;1
1695;13/02/2010;brun;45.0;10.0;32030.0;F;licence;detective;93.43;non;0
1718;20/08/2010;chatain;32.0;10.0;36828.0;M;master;geologie;91.71;non;0
1719;14/04/2014;brun;46.0;10.0;24383.0;F;doctorat;forage;109.12;oui;0
1732;24/04/2013;roux;29.0;10.0;30751.0;M;licence;forage;85.57;non;1
1746;25/02/2011;chatain;40.0;10.0;37155.0;F;licence;geologie;76.38;non;0
1747;12/12/2013;brun;38.0;10.0;34778.0;F;licence;detective;74.93;non;0
1748;28/01/2012;chatain;51.0;10.0;36690.0;F;master;geologie;92.13;non;0
1759;17/06/2013;blond;35.0;10.0;39075.0;M;licence;forage;85.02;non;1
1767;26/12/2014;brun;31.0;10.0;40946.0;M;licence;forage;40.17;non;0
1783;01/05/2011;chatain;46.0;10.0;36683.0;F;doctorat;archeologie;114.89;oui;0
1795;21/05/2013;chatain;46.0;10.0;33354.0;F;master;forage;79.71;non;0
1799;08/08/2010;blond;27.0;10.0;35844.0;M;licence;forage;88.7;non;1
1823;02/05/2010;blond;35.0;10.0;30926.0;F;master;detective;91.96;non;0
1825;19/10/2012;chatain;39.0;10.0;31960.0;M;master;geologie;72.66;non;0
1827;03/02/2013;roux;35.0;10.0;28883.0;M;licence;geologie;61.8;non;0
1835;30/09/2012;chatain;38.0;10.0;31465.0;F;doctorat;archeologie;87.52;oui;0
1850;14/01/2010;blond;40.0;10.0;31819.0;M;master;detective;90.89;oui;0
1889;20/02/2010;chatain;33.0;10.0;28493.0;F;doctorat;geologie;103.7;non;0
1903;20/01/2012;chatain;43.0;10.0;44265.0;F;licence;archeologie;54.51;oui;0
1904;21/01/2010;chatain;39.0;10.0;38462.0;F;master;geologie;77.33;non;0
1905;01/04/2011;blond;26.0;10.0;41236.0;F;licence;detective;72.09;non;1
1913;22/05/2010;chatain;35.0;10.0;30776.0;F;master;forage;40.14;non;1
1915;17/11/2010;blond;39.0;10.0;39177.0;F;licence;detective;82.36;oui;0
1929;28/02/2010;chatain;45.0;10.0;32628.0;F;master;geologie;74.63;non;0
1937;17/12/2013;chatain;31.0;10.0;30298.0;M;master;geologie;63.32;non;1
1949;06/03/2013;blond;26.0;10.0;32463.0;M;master;geologie;84.4;oui;1
