id;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
22845;59;retired;married;basic.9y;no;yes;no;cellular;aug;mon;6;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
17828;55;retired;married;high.school;no;yes;yes;cellular;jul;tue;3;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
24506;43;admin.;married;university.degree;no;yes;no;cellular;nov;mon;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
25399;34;technician;married;basic.9y;no;no;no;cellular;nov;tue;1;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
3974;51;services;married;high.school;unknown;yes;yes;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191.0
27546;44;admin.;married;university.degree;no;no;no;cellular;nov;fri;5;999;0;nonexistent;-0.1;93.2;-42.0;4.021;5195.8
4449;36;self-employed;married;basic.6y;unknown;yes;yes;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
3114;26;technician;married;professional.course;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
3691;37;services;single;basic.9y;no;yes;no;telephone;may;fri;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
2010;45;unknown;married;unknown;unknown;no;no;telephone;may;mon;6;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
26602;52;self-employed;single;professional.course;no;no;yes;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
3993;50;services;married;basic.6y;no;yes;no;telephone;may;mon;4;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191.0
36830;28;admin.;single;university.degree;no;yes;no;cellular;jun;mon;1;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2
23139;47;self-employed;married;university.degree;no;yes;no;cellular;aug;tue;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
40715;39;management;married;university.degree;no;yes;yes;cellular;sep;tue;2;999;0;nonexistent;-1.1;94.199;-37.5;0.877;4963.6
542;57;technician;married;professional.course;unknown;no;yes;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
25969;38;blue-collar;single;basic.6y;no;no;no;cellular;nov;wed;1;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8
27969;45;blue-collar;married;basic.9y;no;yes;no;cellular;mar;tue;1;999;0;nonexistent;-1.8;92.843;-50.0;1.51;5099.1
14610;45;blue-collar;married;basic.4y;no;no;no;cellular;jul;tue;5;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
21773;31;admin.;single;university.degree;no;no;no;cellular;aug;wed;4;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
19975;58;self-employed;married;university.degree;no;yes;no;cellular;aug;fri;3;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1
36370;52;unknown;married;professional.course;unknown;yes;yes;cellular;jun;tue;1;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2
1192;28;blue-collar;married;basic.6y;unknown;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0
7379;33;self-employed;married;basic.6y;no;no;no;telephone;may;fri;5;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0
21271;50;blue-collar;married;basic.9y;no;no;no;cellular;aug;mon;2;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
21460;31;admin.;single;university.degree;unknown;no;no;cellular;aug;tue;2;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
20035;42;technician;married;high.school;no;no;no;cellular;aug;mon;3;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
37444;32;technician;married;professional.course;no;yes;no;cellular;aug;wed;1;3;1;success;-2.9;92.201;-31.4;0.879;5076.2
23551;46;technician;married;professional.course;no;no;no;cellular;aug;thu;2;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1
2451;38;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
22531;38;technician;single;university.degree;no;yes;no;cellular;aug;fri;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
5866;37;management;divorced;high.school;no;yes;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
16049;54;technician;married;high.school;no;no;no;cellular;jul;tue;8;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
24509;31;management;married;university.degree;no;yes;no;cellular;nov;mon;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8
22799;53;housemaid;married;unknown;no;no;no;cellular;aug;mon;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
11692;49;technician;married;professional.course;no;yes;no;telephone;jun;fri;14;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
4124;44;technician;divorced;high.school;no;yes;no;telephone;may;mon;5;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191.0
29361;35;blue-collar;married;basic.6y;no;no;no;cellular;apr;fri;3;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
12756;31;admin.;single;basic.9y;unknown;yes;no;cellular;jul;tue;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
22132;53;admin.;married;university.degree;no;no;no;cellular;aug;thu;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
10105;42;blue-collar;married;basic.6y;no;yes;no;telephone;jun;thu;1;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1
11625;43;technician;married;basic.9y;unknown;no;no;telephone;jun;fri;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
18172;40;technician;married;professional.course;no;no;no;cellular;jul;wed;5;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
22313;47;blue-collar;married;basic.4y;no;no;yes;cellular;aug;thu;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
22428;30;technician;single;professional.course;no;no;no;cellular;aug;fri;2;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
15177;57;entrepreneur;married;unknown;unknown;no;no;cellular;jul;thu;4;999;0;nonexistent;1.4;93.918;-42.7;4.958;5228.1
4593;39;housemaid;married;basic.4y;no;yes;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
12842;43;management;single;university.degree;unknown;yes;yes;cellular;jul;tue;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
5889;52;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
2773;37;services;married;high.school;no;yes;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
34297;23;blue-collar;married;basic.4y;no;no;no;cellular;may;thu;1;999;1;failure;-1.8;92.893;-46.2;1.266;5099.1
32832;30;management;married;university.degree;no;yes;no;cellular;may;mon;1;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1
5307;50;admin.;divorced;university.degree;no;no;no;telephone;may;fri;6;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
3283;38;blue-collar;single;basic.4y;no;yes;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
14832;27;technician;single;high.school;no;yes;no;telephone;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
39379;59;admin.;divorced;university.degree;no;yes;no;cellular;mar;tue;1;999;0;nonexistent;-1.8;93.369;-34.8;0.635;5008.7
28208;40;technician;married;professional.course;no;yes;no;cellular;apr;tue;1;999;0;nonexistent;-1.8;93.075;-47.1;1.453;5099.1
26477;31;technician;married;high.school;no;yes;yes;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
39751;54;admin.;divorced;basic.9y;no;yes;no;telephone;may;thu;1;999;0;nonexistent;-1.8;93.876;-40.0;0.699;5008.7
11500;38;services;married;basic.9y;no;unknown;unknown;telephone;jun;fri;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
16273;33;services;single;high.school;unknown;yes;no;cellular;jul;tue;2;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
6928;45;blue-collar;married;illiterate;unknown;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
16392;31;blue-collar;single;high.school;no;yes;yes;cellular;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
36143;68;retired;married;university.degree;no;yes;yes;cellular;may;wed;2;999;0;nonexistent;-1.8;92.893;-46.2;1.27;5099.1
40572;37;admin.;married;university.degree;no;no;no;telephone;sep;wed;1;999;0;nonexistent;-1.1;94.199;-37.5;0.886;4963.6
32336;57;management;married;high.school;no;yes;no;cellular;may;fri;2;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1
7833;35;admin.;single;basic.4y;unknown;yes;no;telephone;jun;mon;1;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1
5185;30;services;single;high.school;unknown;no;no;telephone;may;fri;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
4257;37;admin.;married;high.school;unknown;yes;yes;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
12969;28;blue-collar;divorced;high.school;no;yes;no;cellular;jul;tue;1;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
29059;43;blue-collar;married;high.school;unknown;unknown;unknown;cellular;apr;fri;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1
5890;53;housemaid;married;basic.4y;unknown;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
21093;48;blue-collar;married;professional.course;unknown;yes;no;cellular;aug;thu;3;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
9996;36;technician;married;high.school;no;yes;no;telephone;jun;wed;2;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
17916;39;services;married;high.school;no;yes;yes;cellular;jul;tue;4;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
17501;51;technician;married;basic.9y;unknown;no;no;cellular;jul;mon;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
36318;43;admin.;married;high.school;unknown;yes;no;cellular;jun;mon;1;999;0;nonexistent;-2.9;92.963;-40.8;1.266;5076.2
28335;37;technician;married;professional.course;unknown;yes;yes;cellular;apr;wed;1;999;0;nonexistent;-1.8;93.075;-47.1;1.445;5099.1
3638;48;technician;married;unknown;unknown;no;yes;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
12516;34;services;married;high.school;no;yes;no;cellular;jul;mon;6;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
23827;29;admin.;single;university.degree;no;yes;no;cellular;aug;fri;4;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
36629;29;technician;single;university.degree;no;no;no;cellular;jun;thu;3;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2
32466;34;admin.;single;university.degree;no;no;no;cellular;may;fri;2;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
26990;38;blue-collar;married;basic.9y;no;no;no;cellular;nov;thu;2;999;0;nonexistent;-0.1;93.2;-42.0;4.076;5195.8
18070;30;admin.;single;high.school;no;yes;no;cellular;jul;wed;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
11655;43;technician;married;basic.9y;unknown;yes;yes;telephone;jun;fri;2;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
10920;34;blue-collar;married;professional.course;unknown;no;no;telephone;jun;wed;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1
37463;22;student;single;high.school;no;yes;no;cellular;aug;thu;2;999;0;nonexistent;-2.9;92.201;-31.4;0.873;5076.2
13241;28;blue-collar;single;professional.course;no;yes;no;cellular;jul;wed;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
31547;50;blue-collar;married;professional.course;unknown;yes;no;cellular;may;thu;1;999;1;failure;-1.8;92.893;-46.2;1.327;5099.1
26829;36;services;married;high.school;no;yes;no;cellular;nov;thu;3;999;1;failure;-0.1;93.2;-42.0;4.076;5195.8
36247;25;technician;married;university.degree;no;no;no;cellular;jun;mon;1;999;1;failure;-2.9;92.963;-40.8;1.266;5076.2
14480;30;entrepreneur;single;high.school;no;yes;no;telephone;jul;tue;2;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
17386;41;services;married;high.school;no;yes;no;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
29521;34;admin.;married;basic.9y;no;yes;no;cellular;apr;mon;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
9027;40;entrepreneur;married;basic.9y;no;yes;no;telephone;jun;thu;3;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1
15944;38;housemaid;married;unknown;unknown;yes;no;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
6080;27;services;married;high.school;unknown;yes;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
24614;34;services;single;high.school;no;no;no;telephone;nov;mon;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
29357;36;admin.;single;high.school;no;yes;no;cellular;apr;fri;2;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
36205;24;management;single;university.degree;no;no;no;cellular;may;thu;6;999;0;nonexistent;-1.8;92.893;-46.2;1.27;5099.1
3013;51;self-employed;married;basic.4y;unknown;no;yes;telephone;may;wed;7;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
18830;45;management;divorced;high.school;no;yes;no;cellular;aug;mon;1;999;0;nonexistent;1.4;93.444;-36.1;4.97;5228.1
33442;28;technician;divorced;professional.course;no;no;no;cellular;may;tue;1;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1
14884;33;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;11;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
39227;64;retired;married;university.degree;no;no;no;cellular;mar;tue;2;5;1;success;-1.8;93.369;-34.8;0.652;5008.7
12376;46;blue-collar;married;basic.9y;unknown;no;no;cellular;jul;fri;1;999;0;nonexistent;1.4;93.918;-42.7;4.959;5228.1
39341;30;student;single;unknown;no;yes;no;cellular;mar;thu;1;999;0;nonexistent;-1.8;93.369;-34.8;0.635;5008.7
32439;37;admin.;single;university.degree;no;no;no;cellular;may;fri;2;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1
946;51;blue-collar;married;basic.9y;no;no;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
13658;31;blue-collar;single;basic.4y;no;yes;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
35194;60;admin.;divorced;high.school;unknown;yes;no;cellular;may;fri;1;999;1;failure;-1.8;92.893;-46.2;1.25;5099.1
33011;30;entrepreneur;married;basic.6y;unknown;yes;no;cellular;may;mon;3;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1
36874;24;admin.;single;university.degree;no;yes;no;cellular;jun;wed;3;999;1;failure;-2.9;92.963;-40.8;1.244;5076.2
30814;51;blue-collar;married;professional.course;unknown;yes;no;cellular;may;tue;1;999;0;nonexistent;-1.8;92.893;-46.2;1.344;5099.1
13659;38;technician;single;professional.course;no;yes;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
701;57;housemaid;married;basic.6y;unknown;yes;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
39356;26;admin.;single;high.school;no;yes;no;cellular;mar;fri;1;999;0;nonexistent;-1.8;93.369;-34.8;0.636;5008.7
11992;36;blue-collar;married;unknown;unknown;no;no;telephone;jun;wed;3;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1
21433;33;admin.;married;high.school;no;no;no;cellular;aug;tue;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
9880;47;unknown;married;unknown;unknown;yes;no;telephone;jun;wed;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
40471;59;admin.;married;university.degree;no;yes;no;cellular;aug;wed;3;999;0;nonexistent;-1.7;94.027;-38.3;0.903;4991.6
19220;47;services;married;high.school;unknown;yes;no;cellular;aug;wed;2;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1
30377;30;admin.;single;university.degree;no;yes;yes;telephone;apr;thu;2;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1
33628;25;admin.;married;high.school;no;yes;no;cellular;may;wed;4;999;1;failure;-1.8;92.893;-46.2;1.281;5099.1
32990;31;blue-collar;single;basic.6y;unknown;no;no;cellular;may;mon;3;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1
9667;32;services;married;unknown;no;no;no;telephone;jun;mon;4;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1
11688;31;management;single;university.degree;unknown;yes;no;telephone;jun;fri;4;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
7261;33;services;single;high.school;no;no;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
38194;65;retired;married;high.school;no;yes;no;cellular;oct;tue;2;999;0;nonexistent;-3.4;92.431;-26.9;0.744;5017.5
39876;29;admin.;married;high.school;no;yes;no;cellular;jun;wed;1;999;1;failure;-1.7;94.055;-39.8;0.727;4991.6
5259;29;services;single;university.degree;no;no;no;telephone;may;fri;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
6811;45;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;wed;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
1819;44;blue-collar;single;basic.6y;unknown;yes;no;telephone;may;fri;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0
32288;40;blue-collar;married;basic.6y;unknown;yes;no;cellular;may;fri;1;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
39106;53;admin.;married;university.degree;no;yes;yes;telephone;dec;mon;1;6;2;success;-3.0;92.713;-33.0;0.706;5023.5
21559;52;admin.;married;university.degree;no;yes;no;cellular;aug;tue;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
11737;35;admin.;married;basic.9y;no;no;yes;telephone;jun;fri;4;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
8349;57;blue-collar;married;basic.4y;unknown;yes;no;telephone;jun;tue;5;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
36349;33;admin.;married;university.degree;no;yes;no;cellular;jun;tue;1;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2
40402;41;entrepreneur;married;university.degree;no;yes;no;cellular;aug;thu;1;999;0;nonexistent;-1.7;94.027;-38.3;0.904;4991.6
12453;30;services;married;high.school;no;yes;no;cellular;jul;mon;4;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1
25388;39;unemployed;married;basic.9y;unknown;no;no;cellular;nov;tue;1;999;1;failure;-0.1;93.2;-42.0;4.153;5195.8
25224;53;management;married;university.degree;no;yes;no;cellular;nov;tue;2;999;0;nonexistent;-0.1;93.2;-42.0;4.153;5195.8
17967;55;housemaid;married;basic.4y;unknown;yes;no;telephone;jul;tue;2;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
9429;31;entrepreneur;married;high.school;no;yes;no;telephone;jun;fri;3;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1
34940;24;blue-collar;single;basic.9y;no;no;no;telephone;may;fri;4;999;1;failure;-1.8;92.893;-46.2;1.25;5099.1
4059;54;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.858;5191.0
37279;36;admin.;divorced;university.degree;no;no;no;cellular;aug;mon;1;5;1;success;-2.9;92.201;-31.4;0.884;5076.2
36031;45;admin.;divorced;university.degree;no;no;no;cellular;may;tue;1;9;1;success;-1.8;92.893;-46.2;1.266;5099.1
16735;58;blue-collar;married;basic.4y;no;no;yes;cellular;jul;thu;3;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
11526;53;retired;married;high.school;unknown;yes;no;telephone;jun;fri;2;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
3061;37;admin.;married;high.school;unknown;yes;no;telephone;may;wed;3;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
2826;47;blue-collar;married;basic.9y;no;yes;no;telephone;may;wed;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
11777;31;entrepreneur;single;basic.6y;unknown;yes;no;telephone;jun;fri;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
30188;45;admin.;single;high.school;no;yes;no;cellular;apr;thu;1;2;1;success;-1.8;93.075;-47.1;1.365;5099.1
24705;52;services;divorced;high.school;unknown;yes;yes;cellular;nov;mon;2;999;1;failure;-0.1;93.2;-42.0;4.191;5195.8
2904;37;admin.;married;university.degree;no;yes;no;telephone;may;wed;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0
7187;27;blue-collar;married;basic.4y;no;yes;no;telephone;may;thu;3;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
8505;43;blue-collar;married;basic.4y;no;yes;no;telephone;jun;wed;4;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
1449;50;technician;married;professional.course;no;yes;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0
21303;31;technician;single;university.degree;no;no;no;cellular;aug;mon;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
33855;28;blue-collar;single;basic.9y;no;yes;no;cellular;may;wed;1;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1
20862;30;unknown;divorced;university.degree;no;no;yes;cellular;aug;thu;1;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1
40740;33;technician;married;university.degree;no;no;no;cellular;sep;wed;1;999;0;nonexistent;-1.1;94.199;-37.5;0.876;4963.6
9969;56;admin.;married;high.school;no;yes;no;telephone;jun;wed;11;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
28495;57;technician;married;professional.course;no;yes;no;cellular;apr;tue;1;999;0;nonexistent;-1.8;93.075;-47.1;1.423;5099.1
39424;54;admin.;married;high.school;no;yes;no;cellular;apr;mon;2;999;0;nonexistent;-1.8;93.749;-34.6;0.642;5008.7
7299;51;blue-collar;divorced;basic.4y;no;yes;no;telephone;may;thu;2;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
29600;48;services;single;basic.9y;no;yes;no;cellular;apr;mon;5;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
13554;25;technician;single;professional.course;no;yes;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
6686;43;management;married;basic.6y;unknown;no;no;telephone;may;wed;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0
29789;43;management;married;university.degree;no;no;no;cellular;apr;mon;2;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1
23826;29;admin.;single;university.degree;no;yes;no;cellular;aug;fri;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
29437;40;blue-collar;married;basic.6y;no;yes;no;cellular;apr;mon;3;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1
30343;38;admin.;single;university.degree;no;yes;yes;cellular;apr;thu;2;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1
30490;57;admin.;single;university.degree;no;no;yes;cellular;may;mon;3;999;0;nonexistent;-1.8;92.893;-46.2;1.354;5099.1
35861;66;housemaid;married;high.school;no;yes;no;cellular;may;fri;1;999;0;nonexistent;-1.8;92.893;-46.2;1.259;5099.1
36576;21;student;single;high.school;no;no;no;cellular;jun;wed;4;999;0;nonexistent;-2.9;92.963;-40.8;1.26;5076.2
19521;32;admin.;single;university.degree;no;yes;yes;cellular;aug;thu;5;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1
4403;45;blue-collar;single;basic.9y;no;yes;yes;telephone;may;tue;6;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0
3146;30;blue-collar;single;basic.4y;no;no;no;telephone;may;thu;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0
14584;40;admin.;divorced;high.school;no;yes;no;cellular;jul;tue;6;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
